@RELATION OperacaoMarubozu

@ATTRIBUTE porcentagemOperacaoFinal REAL
@ATTRIBUTE precoEntrada REAL
@ATTRIBUTE precoPrimeiroAlvoFibonacci REAL
@ATTRIBUTE precoSegundoAlvoFibonacci REAL
@ATTRIBUTE precoStop REAL
@ATTRIBUTE precoTerceiroAlvoFibonacci REAL
@ATTRIBUTE primeiroAlvoAtingido {0,1}
@ATTRIBUTE segundoAlvoAtingido {0,1}
@ATTRIBUTE start {0,1}
@ATTRIBUTE terceiroAlvoAtingido {0,1}
@ATTRIBUTE pavioInferior {0,1,2}
@ATTRIBUTE pavioSuperior {0,1,2}
@ATTRIBUTE tipo {0,1}
@ATTRIBUTE variacaoPreco {0,1,2,3}
@ATTRIBUTE volumeAcimaMedia20 {0,1}

@DATA
4.22,12.08,12.37,12.56,11.57,12.86,0,0,1,0,1,1,1,0,1
1.46,67.41,70.37,72.22,62.57,75.19,1,0,1,0,1,0,1,0,1
9.14,15.12,15.91,16.4,13.82,17.2,1,1,1,1,2,1,1,1,1
0.85,30.73,31.52,32.03,29.4,32.83,1,0,1,0,2,1,1,0,1
6.05,15,15.75,16.23,13.74,16.99,1,1,1,0,0,2,1,0,1
4.94,30.95,30.04,29.47,32.48,28.54,0,0,1,0,0,2,0,0,1
1.65,14.73,15.46,15.93,13.5,16.67,1,0,1,0,1,1,1,0,1
6.85,15.5,14.89,14.52,16.51,13.9,1,1,1,1,2,2,0,0,1
0,13.7,14.44,14.9,12.48,15.65,0,0,0,0,1,0,1,1,1
5.29,18.01,18.55,18.9,17.09,19.45,1,1,1,1,0,2,1,0,1
4.11,19.41,19.93,20.25,18.52,20.79,1,1,1,0,0,0,1,2,1
6.1,10.95,11.33,11.57,10.31,11.96,1,1,1,1,2,2,1,1,1
1.11,21.51,22.23,22.69,20.29,23.42,1,0,1,0,1,2,1,0,1
0,16.11,15.61,15.29,16.97,14.78,0,0,0,0,2,2,0,0,1
4.67,16.58,17.02,17.3,15.83,17.75,1,1,1,1,0,2,1,0,1
1.48,17.5,18.28,18.77,16.18,19.57,1,0,1,0,1,2,1,1,1
6.04,20.99,21.71,22.17,19.77,22.9,1,1,1,1,1,0,1,0,1
5.68,11.09,10.72,10.48,11.72,10.11,0,0,1,0,1,2,0,0,1
2.96,45.8,41.73,39.22,52.41,35.14,1,0,1,0,2,0,0,2,1
0.63,23.99,23.53,23.25,24.76,22.78,1,0,1,0,0,0,0,0,1
4.36,68.09,69.79,70.85,65.3,72.56,1,1,1,1,1,1,1,0,1
6.44,10.63,10.06,9.71,11.58,9.13,1,1,1,0,2,2,0,0,1
4.68,17.49,17,16.7,18.31,16.2,0,0,1,0,0,0,0,0,0
7.8,17.7,16.91,16.42,19.01,15.62,1,1,1,1,1,2,0,0,1
0,23.49,23.19,23,24.01,22.69,0,0,0,0,0,0,0,0,1
